InChI Key (ID),Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
FJFIJIDZQADKEE-UHFFFAOYSA-N,4-Fluoro-Phenylammonium iodide,4FluoroPhenylammoniumIodide,239.03,2.0148669999999997,"InChI=1S/C6H6FN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",organic,C1(=CC=C(C=C1)F)[NH3+].[I-],C6H7FIN,,,,,,,,
QRFXELVDJSDWHX-UHFFFAOYSA-N,4-Methoxy-Phenylammonium iodide,4MethoxyPhenylammoniumIodide,251.07,1.771191,"InChI=1S/C7H9NO.HI/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",organic,C1(=CC=C(C=C1)OC)[NH3+].[I-],C7H10INO,,,,,,,,
SQXJHWOXNLTOOO-UHFFFAOYSA-N,4-Trifluoromethyl-Benzylammonium iodide,4TrifluoromethylBenzylammoniumIodide,303.07,1.938294,"InChI=1S/C8H8F3N.HI/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],C8H9F3IN,,,,,,,,
KOAGKPNEVYEZDU-UHFFFAOYSA-N,4-Trifluoromethyl-Phenylammonium iodide,4TrifluoromethylPhenylammoniumIodide,289.04,2.074383,"InChI=1S/C7H6F3N.HI/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)[NH3+].[I-],C7H7F3IN,,,,,,,,
MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,CBz,112.56,1.11,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,solvent,C1=CC=C(C=C1)Cl,C6H5Cl,,,,,,,,
CWJKVUQGXKYWTR-UHFFFAOYSA-N,Acetamidinium bromide,ACBr,138.99,1.8198470000000002,"InChI=1S/C2H6N2.BrH/c1-2(3)4;/h1H3,(H3,3,4);1H",organic,CC(=[NH2+])N.[Br-],C2H7BrN2,44255193,,,,,,,
QJFMCHRSDOLMHA-UHFFFAOYSA-N,Benzylammonium Bromide,BnNH3Br,188.07,1.530173,"InChI=1S/C7H9N.BrH/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H",organic,C1=CC=C(C=C1)C[NH3+].[Br-],C7H10BrN,12998568,,,,,Sigma: 900885-5G,https://www.sigmaaldrich.com/catalog/product/aldrich/900885?lang=en&region=US,https://pubchem.ncbi.nlm.nih.gov/compound/12998568
PPCHYMCMRUGLHR-UHFFFAOYSA-N,Benzylammonium Iodide,BenzylammoniumIodide,235.07,1.7459930000000001,"InChI=1S/C7H9N.HI/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H",organic,C1=CC=C(C=C1)C[NH3+].[I-],C7H10IN,,"Model[Sample, Chemical, ""id:M8n3rx00woJm""]","Object[Product, ""id:WNa4ZjKK3xJV""]",Benzylammonium Iodide,,Sigma: 806196-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806196?lang=en&region=US,PubChem
XAKAQFUGWUAPJN-UHFFFAOYSA-N,Beta Alanine Hydroiodide,betaAlanineHydroiodide,217.01,2.023364,"InChI=1S/C3H7NO2.HI/c4-2-1-3(5)6;/h1-2,4H2,(H,5,6);1H",organic,[I-].[NH3+]CCC(O)=O,,,,,,,,,https://cactus.nci.nih.gov/chemical/structure/I.NCCC(O)=O/stdinchikey
KOECRLKKXSXCPB-UHFFFAOYSA-K,Bismuth iodide,BiI3,589.69,5.78,InChI=1S/Bi.3HI/h;3*1H/q+3;;;/p-3,inorganic,I[Bi](I)I,BiI3,,,,,,Sigma: 341010-100G,,https://pubchem.ncbi.nlm.nih.gov/compound/Bismuth_iodide#section=3D-Status
